"Problem","Severity","Normalized Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"1","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","1","14","comma-spacing","A space is required after ','.","https://eslint.org/docs/latest/rules/comma-spacing","layout","eslint-lwc"
"2","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","1","15","sort-imports","Member 'api' of the import declaration should be sorted alphabetically.","https://eslint.org/docs/latest/rules/sort-imports","suggestion","eslint-lwc"
"3","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","1","36","object-curly-spacing","There should be no space before '}'.","https://eslint.org/docs/latest/rules/object-curly-spacing","layout","eslint-lwc"
"4","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","1","44","quotes","Strings must use doublequote.","https://eslint.org/docs/latest/rules/quotes","layout","eslint-lwc"
"5","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","2","9","object-curly-spacing","There should be no space after '{'.","https://eslint.org/docs/latest/rules/object-curly-spacing","layout","eslint-lwc"
"6","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","2","24","object-curly-spacing","There should be no space before '}'.","https://eslint.org/docs/latest/rules/object-curly-spacing","layout","eslint-lwc"
"7","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","2","32","quotes","Strings must use doublequote.","https://eslint.org/docs/latest/rules/quotes","layout","eslint-lwc"
"8","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","3","1","max-len","This line has a length of 93. Maximum allowed is 80.","https://eslint.org/docs/latest/rules/max-len","layout","eslint-lwc"
"9","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","3","36","quotes","Strings must use doublequote.","https://eslint.org/docs/latest/rules/quotes","layout","eslint-lwc"
"10","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","4","24","quotes","Strings must use doublequote.","https://eslint.org/docs/latest/rules/quotes","layout","eslint-lwc"
"11","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","5","67","padded-blocks","Block must be padded by blank lines.","https://eslint.org/docs/latest/rules/padded-blocks","layout","eslint-lwc"
"12","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","7","5","lines-between-class-members","Expected blank line between class members.","https://eslint.org/docs/latest/rules/lines-between-class-members","layout","eslint-lwc"
"13","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","8","5","lines-between-class-members","Expected blank line between class members.","https://eslint.org/docs/latest/rules/lines-between-class-members","layout","eslint-lwc"
"14","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","9","5","lines-between-class-members","Expected blank line between class members.","https://eslint.org/docs/latest/rules/lines-between-class-members","layout","eslint-lwc"
"15","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","10","5","lines-between-class-members","Expected blank line between class members.","https://eslint.org/docs/latest/rules/lines-between-class-members","layout","eslint-lwc"
"16","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","11","5","lines-between-class-members","Expected blank line between class members.","https://eslint.org/docs/latest/rules/lines-between-class-members","layout","eslint-lwc"
"17","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","12","5","lines-between-class-members","Expected blank line between class members.","https://eslint.org/docs/latest/rules/lines-between-class-members","layout","eslint-lwc"
"18","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","13","5","lines-between-class-members","Expected blank line between class members.","https://eslint.org/docs/latest/rules/lines-between-class-members","layout","eslint-lwc"
"19","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","13","20","semi","Missing semicolon.","https://eslint.org/docs/latest/rules/semi","layout","eslint-lwc"
"20","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","14","5","lines-between-class-members","Expected blank line between class members.","https://eslint.org/docs/latest/rules/lines-between-class-members","layout","eslint-lwc"
"21","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","14","19","space-before-function-paren","Missing space before function parentheses.","https://eslint.org/docs/latest/rules/space-before-function-paren","layout","eslint-lwc"
"22","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","14","27","padded-blocks","Block must be padded by blank lines.","https://eslint.org/docs/latest/rules/padded-blocks","layout","eslint-lwc"
"23","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","15","15","prefer-destructuring","Use array destructuring.","https://eslint.org/docs/latest/rules/prefer-destructuring","suggestion","eslint-lwc"
"24","2","1","/home/runner/work/newtestasset41/newtestasset41/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","15","41","no-magic-numbers","No magic number: 0.","https://eslint.org/docs/latest/rules/no-magic-numbers","suggestion","eslint-lwc"
